Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.4585743167,5.68286132161558,7.00918814279223,4.09,23086.8005026864,1059033.55787012,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.6424548256,6.00289980827524,6.73082101909491,3.09,40173.0721736448,1505890.91484695,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.0671786567,5.86588984031,8.51272743037509,5.13,36882.1593997045,1058987.98787608,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.2400462279,7.18823609451864,5.58672866482765,3.26,34310.242830907,1260616.80662944,"USS Barnett
FPO AP 44820"
59982.197225708,5.04055452310628,7.83938778512048,4.23,26354.1094721031,630943.48933854,"USNS Raymond
FPO AE 09386"
80175.7541594853,,,,,1068138.07439353,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.4634278877,6.02533590688715,8.14775958502343,3.41,60828.2490854071,1502055.8173744,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.3392775308,6.98977974771828,6.62047799518502,2.42,36516.3589724938,1573936.56447772,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.6608133496,5.36212556960358,6.3931209805509,2.3,29387.3960028158,798869.532833163,"USS Gilbert
FPO AA 20957"
81885.9271840956,4.42367178989787,8.16768800347235,6.1,40149.9657492133,1545154.81264196,"Unit 9446 Box 0958
DPO AE 97025"
80527.4720829228,8.09351268063935,5.04274679964598,4.1,47224.3598402219,1707045.72215805,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.6954970428,4.49651279309703,7.46762740400801,,,,
39033.8092369823,7.67175537285442,7.25002931727349,3.1,39220.3614673724,1042814.09782009,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.6634410467,6.91953482545655,5.99318790094556,2.27,32326.123139488,1291331.51848582,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.3801843616,5.34477617673572,8.40641771453425,4.37,35521.2940331732,1402818.21016585,"PSC 5330, Box 4420
APO AP 08302"
73091.8667458232,5.44315646653547,8.51751271113797,4.01,23929.5240532679,1306674.65995119,"2278 Shannon View
North Carriemouth, NM 84617"
79706.9630576574,5.06788959105897,8.21977112328625,3.12,39717.8135763095,1556786.60019477,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.0770180892,4.78855024180588,5.09700955437756,4.3,24595.9014978229,528485.246730596,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.1942994299,5.94716513955247,7.18777383532972,5.12,35719.6530520308,1019425.93675783,"Unit 7424 Box 2786
DPO AE 71255"
62085.2764034048,5.73941084363057,7.09180810424997,5.49,44922.106702293,1030591.4292116,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86294.9990887105,6.62745693978173,8.01189785315056,4.07,47560.7753362952,2146925.33988866,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.0899788539,5.55122159199032,6.51717503809477,2.1,45574.7416622579,929247.5995364,"USNS Brown
FPO AP 85833"
